,10,40,50,60,1140,1160,1180,1280,1281,1300,1301,1302,1320,1560,1920,1940,2060,2220,2280,2403,2462,2522,2582,2583,2585,2705,2905
10,12,0,0,0,1,3,0,4,1,3,0,0,0,1,0,0,1,0,31,553,0,6,1,1,2,3,0
40,1,92,16,14,3,2,0,4,2,1,0,0,1,1,1,0,10,0,9,317,6,7,4,3,0,5,3
50,1,4,106,14,0,0,1,5,7,23,2,5,3,8,2,1,8,1,8,106,1,12,3,4,2,2,7
60,0,0,6,104,0,0,1,2,5,2,1,1,0,0,0,0,0,0,1,34,0,4,2,1,0,0,2
1140,0,1,1,7,152,1,0,21,2,9,1,2,4,2,6,1,3,0,7,286,0,17,0,3,2,4,2
1160,3,0,2,4,1,61,0,1,6,1,0,0,2,2,0,0,0,0,8,682,0,13,0,1,0,4,0
1180,1,0,2,12,1,0,4,3,3,5,0,0,1,5,0,0,2,0,3,99,0,7,1,2,1,0,1
1280,1,2,9,3,41,1,0,348,40,161,2,24,18,18,5,2,20,2,10,205,0,30,8,10,6,7,1
1281,1,1,4,50,4,1,1,96,67,3,1,3,1,8,1,1,3,0,5,133,1,10,2,5,2,7,3
1300,1,0,13,0,2,8,0,63,4,658,0,3,5,14,1,1,11,0,3,164,0,10,14,22,9,3,0
1301,0,0,1,0,1,0,0,3,3,2,96,2,2,3,2,0,2,2,4,17,0,9,2,4,2,4,0
1302,0,1,6,1,8,2,0,41,9,15,2,239,9,36,0,1,21,2,1,47,0,12,13,17,9,6,0
1320,0,1,0,1,31,0,0,30,3,6,0,8,325,22,7,2,31,0,4,128,0,22,3,12,6,6,0
1560,0,1,3,1,19,0,0,24,0,8,0,9,11,668,39,0,86,3,5,28,0,25,53,11,19,2,0
1920,0,0,0,0,22,2,0,6,0,1,1,5,8,50,690,0,37,2,4,14,0,5,4,5,4,1,0
1940,0,0,1,0,0,1,0,5,1,0,1,1,2,5,0,33,3,2,16,54,0,10,3,6,1,16,0
2060,2,4,0,0,13,3,0,27,1,12,1,9,6,100,23,2,708,3,2,21,0,18,25,7,8,4,0
2220,0,0,2,0,4,0,0,7,1,1,0,3,2,20,6,2,14,60,4,10,0,6,6,7,6,4,0
2280,4,0,0,3,1,10,0,7,2,4,0,1,5,0,2,0,2,0,104,773,0,17,0,6,0,10,1
2403,0,0,0,3,2,11,0,6,2,1,1,0,3,2,0,1,2,0,40,859,2,5,2,5,0,8,0
2462,1,1,3,32,0,1,0,6,2,1,0,0,2,0,0,0,1,0,7,183,25,10,7,0,0,2,0
2522,0,0,4,2,22,1,0,22,0,13,4,6,9,40,9,1,21,2,12,192,0,586,18,19,8,6,1
2582,0,1,2,0,11,1,0,11,0,5,2,6,6,84,16,0,30,0,0,24,0,19,245,30,23,2,0
2583,2,0,6,1,7,2,0,9,1,7,1,4,8,4,2,3,11,1,7,87,0,41,11,1809,7,10,1
2585,2,1,10,0,8,0,0,5,2,13,3,7,6,46,4,1,22,4,5,30,1,36,20,27,243,3,0
2705,4,0,0,1,1,4,0,3,6,0,2,1,6,1,0,1,0,0,32,210,0,6,0,7,0,265,2
2905,0,1,0,3,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,158
